Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
SALAMANDER	5199	12990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	ЭВА	Без перфорации	Шнурки	45	60	6	Муж.
SALAMANDER	5599	13990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Декоративная	Шнурки	29	59	6	Муж.
SALAMANDER	5590	13990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Декоративная	Шнурки	35	75	6	Муж.
SALAMANDER	5590	13990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Декоративная	Шнурки	35	75	6	Муж.
SALAMANDER	5199	12990	Коричневый	Кеды	Межсезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Шевро	Шевро	Резина	Нет	Шнурки	28	65	6	Муж.
SALAMANDER	5199	12990	Синий	Кеды	Межсезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Шевро	Шевро	Резина	Нет	Шнурки	28	65	6	Муж.
Thomas Munz	9099	12999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Искусственная кожа	Текстиль	ТЭП	Нет	Шнурки	40	85	6	Муж.
Thomas Munz	9099	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Искусственная кожа	Текстиль	Полиуретан	Декоративная	Шнурки	45	80	6	Муж.
Thomas Munz	9099	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Искусственная кожа	Текстиль	ТЭП	Нет	Шнурки	40	85	6	Муж.
Thomas Munz	9099	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Искусственная кожа	Текстиль	ЭВА	Нет	Шнурки	45	80	6	Муж.
Thomas Munz	8399	11999	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	Полиуретан	Нет	Шнурки	28	75	6	Муж.
Thomas Munz	3599	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	ТЭП	Нет	Шнурки	40	75	6	Муж.
Thomas Munz	8399	11999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	Полиуретан	Нет	Шнурки	28	75	6	Муж.
Thomas Munz	8399	11999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	ТЭП	Нет	Шнурки	40	75	6	Муж.
Thomas Munz	9599	15999	Черный	Кроссовки	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральный мех	Unknown	Натуральный мех	ТЭП	Нет	Шнурки	35	90	6	Муж.
BRIGGS	3199	7999	Черный	Кроссовки	Межсезон	Осень-Зима 2024-2025	Текстиль	Текстиль	Unknown	Текстиль	ЭВА	Нет	Шнурки	40	90	6	Муж.
BRIGGS	3199	7999	Синий	Кроссовки	Межсезон	Осень-Зима 2024-2025	Текстиль	Текстиль	Unknown	Текстиль	ЭВА	Нет	Шнурки	40	90	6	Муж.
M-Shoes	4399	10990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	28	75	6	Муж.
M-Shoes	3999	9990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	25	75	6	Муж.
M-Shoes	4399	10990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	28	75	6	Муж.
Thomas Munz	9599	15999	Черный	Кроссовки высокие	Зима	Осень-Зима 2024-2025	Кожа из спилка	Натуральная шерсть	Unknown	Натуральная шерсть	ЭВА	Нет	Молния/Шнурки	40	100	6	Муж.
Thomas Munz	5199	12999	Черный	Кроссовки высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	35	100	6	Муж.
M-Shoes	5199	12990	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Нет	Молния/Шнурки	29	115	6	Муж.
Thomas Munz	4799	11999	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	30	90	6	Муж.
M-Shoes	3999	9990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	25	75	6	Муж.
Thomas Munz	5999	14999	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	27	100	6	Муж.
Thomas Munz	5599	13999	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Нет	Молния/Шнурки	29	120	6	Муж.
Thomas Munz	5599	13999	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Декоративная	Молния/Шнурки	30	95	6	Муж.
BRIGGS	8399	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	36	82	6	Муж.
Thomas Munz	4799	11999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	36	82	6	Муж.
